----,,,,,,
DateTime:        , 2021/12/20, 15:48:35,1.64003E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-15.34,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,80,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #00001,,,,,
Gain:,25,5, ,,,
Sio:,127.87,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,1396.147,,
1,0.8,92.193,1433.029,1434.94,,
2,3.3,91.208,1456.74,1467.022,,
3,5.8,89.769,1481.092,1496.566,,
4,8.3,89.239,1513.247,1524.068,,
5,10.8,88.86,1545.898,1549.722,,
6,13.3,88.86,1568.18,1573.758,,
7,15.8,88.254,1600.933,1596.128,,
8,18.3,87.875,1625.041,1617.011,,
9,20.8,87.572,1643.135,1636.526,,
10,23.3,87.117,1661.489,1654.738,,
11,25.8,86.587,1679.243,1671.724,,
12,28.3,86.056,1698.145,1687.574,,
13,30.8,85.829,1709.773,1702.423,,
14,33.3,85.526,1723.455,1716.324,,
15,35.8,85.45,1731.115,1729.378,,
16,38.3,84.92,1747.438,1741.572,,
17,40.8,84.768,1754.762,1753.02,,
18,43.3,84.162,1770.869,1763.712,,
19,45.8,84.238,1771.508,1773.786,,
20,48.3,83.632,1787.361,1783.2,,
21,50.8,83.177,1799.583,1792.019,,
22,53.3,83.177,1801.026,1800.331,,
23,55.8,83.025,1806.77,1808.152,,
24,58.3,83.025,1808.263,1815.527,,
25,60.8,82.419,1822.581,1822.431,,
26,63.3,82.495,1821.732,1828.953,,
27,65.8,81.889,1836.535,1835.064,,
28,68.3,81.965,1835.228,1840.842,,
29,70.8,81.813,1839.067,1846.292,,
30,73.3,81.737,1840.625,1851.439,,
31,75.8,81.283,1851.707,1856.278,,
32,78.3,80.98,1858.835,1860.839,,
33,80.8,80.904,1860.872,1865.154,,
34,83.3,80.677,1865.272,1869.229,,
35,85.8,80.374,1872.405,1873.076,,
36,88.3,80.298,1874.073,1876.721,,
37,90.8,80.374,1871.808,1880.182,,
38,93.3,80.071,1878.593,1883.454,,
39,95.8,79.692,1886.62,1886.546,,
40,98.3,79.919,1881.154,1889.494,,
41,100.8,79.464,1890.507,1892.28,,
42,103.3,79.389,1893.168,1894.928,,
43,105.8,79.161,1896.482,1897.442,,
44,108.3,79.313,1892.203,1899.841,,
45,110.8,79.086,1897.085,1902.121,,
46,113.3,78.858,1901.437,1904.289,,
47,115.8,78.404,1911.748,1906.347,,
48,118.3,78.404,1910.83,1908.313,,
49,120.8,78.404,1909.962,1910.193,,
50,123.3,78.176,1913.878,1911.985,,
51,125.8,78.101,1913.994,1913.699,,
52,128.3,78.025,1915.853,1915.339,,
53,130.8,77.949,1916.945,1916.91,,
54,133.3,77.722,1919.927,1918.413,,
55,135.8,77.494,1924.164,1919.851,,
56,138.3,77.494,1922.358,1921.234,,
57,140.8,77.494,1921.171,1922.562,,
58,143.3,77.267,1924.752,1923.837,,
59,145.8,77.419,1919.434,1925.067,,
60,148.3,76.964,1929.057,1926.246,,
61,150.8,76.888,1929.397,1927.382,,
62,153.3,76.737,1931.07,1928.477,,
63,155.8,76.737,1929.715,1929.535,,
64,158.3,76.358,1937.874,1930.554,,
65,160.8,76.585,1930.765,1931.542,,
66,163.3,76.358,1934.836,1932.496,,
67,165.8,76.282,1933.821,1933.42,,
68,168.3,76.282,1932.668,1934.316,,
69,170.8,76.055,1936.708,1935.183,,
70,173.3,75.827,1940.562,1936.024,,
71,175.8,75.752,1939.863,1936.841,,
72,178.3,75.827,1937.292,1937.636,,
73,180.8,75.297,1948.919,1938.408,,
74,183.3,75.827,1933.705,1939.16,,
75,185.8,75.676,1934.881,1939.893,,
76,188.3,75.449,1938.272,1940.607,,
77,190.8,75.373,1938.044,1941.303,,
78,193.3,75.297,1937.923,1941.982,,
79,195.8,74.691,1952.418,1942.645,,
80,198.3,74.691,1948.562,1943.294,,
81,200.8,74.842,1943.28,1943.929,,
82,203.3,74.539,1949.035,1944.55,,
83,205.8,74.464,1948.064,1945.158,,
84,208.3,74.464,1945.486,1945.754,,
85,210.8,74.312,1947.946,1946.338,,
86,213.3,74.009,1953.382,1946.912,,
87,215.8,74.161,1947.233,1947.475,,
88,218.3,73.858,1953.058,1948.028,,
89,220.8,73.933,1948.567,1948.571,,
90,223.3,73.858,1947.425,1949.105,,
91,225.8,73.327,1959.056,1949.632,,
