----,,,,,,
DateTime:        , 2022/01/06, 13:40:13,1.64149E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-115.24,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #10000,,,,,
Gain:,25,5, ,,,
Sio:,705.66,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,79.923,,
1,0.8,173.114,80.005,81.65,,
2,3.3,181.692,83.081,83.098,,
3,5.8,181.914,86.008,84.618,,
4,8.3,181.766,87.112,86.197,,
5,10.8,182.063,88.684,87.828,,
6,13.3,182.026,90.064,89.502,,
7,15.8,181.989,91.973,91.21,,
8,18.3,182.174,93.131,92.948,,
9,20.8,182.212,94.846,94.71,,
10,23.3,182.286,96.365,96.491,,
11,25.8,182.323,98.101,98.286,,
12,28.3,182.323,100.032,100.091,,
13,30.8,182.323,101.523,101.902,,
14,33.3,182.471,103.194,103.718,,
15,35.8,182.657,105.039,105.536,,
16,38.3,182.62,106.834,107.351,,
17,40.8,182.657,108.367,109.163,,
18,43.3,182.583,110.843,110.967,,
19,45.8,182.731,112.417,112.765,,
20,48.3,182.731,114.277,114.552,,
21,50.8,182.694,116.008,116.328,,
22,53.3,182.583,118.051,118.09,,
23,55.8,182.731,119.312,119.838,,
24,58.3,182.917,121.115,121.573,,
25,60.8,182.954,122.993,123.291,,
26,63.3,182.917,124.702,124.991,,
27,65.8,182.806,126.222,126.672,,
28,68.3,182.917,128.244,128.334,,
29,70.8,182.954,130.055,129.976,,
30,73.3,182.991,131.58,131.597,,
31,75.8,182.843,133.372,133.195,,
32,78.3,182.917,134.739,134.771,,
33,80.8,182.917,136.401,136.325,,
34,83.3,182.917,137.975,137.855,,
35,85.8,182.954,139.828,139.361,,
36,88.3,182.954,141.139,140.843,,
37,90.8,182.991,142.75,142.3,,
38,93.3,182.88,144.084,143.732,,
39,95.8,182.917,145.454,145.138,,
40,98.3,182.954,147.108,146.519,,
41,100.8,182.991,148.193,147.875,,
42,103.3,183.028,149.518,149.204,,
43,105.8,183.028,150.807,150.507,,
44,108.3,183.028,152.359,151.785,,
45,110.8,182.991,153.483,153.035,,
46,113.3,183.028,154.698,154.26,,
47,115.8,183.028,155.747,155.458,,
48,118.3,183.177,156.756,156.63,,
49,120.8,183.066,158.031,157.776,,
50,123.3,183.14,159.19,158.895,,
51,125.8,183.14,160.107,159.989,,
52,128.3,183.251,161.145,161.057,,
53,130.8,183.251,161.931,162.1,,
54,133.3,183.066,163.1,163.116,,
55,135.8,183.028,164.161,164.107,,
56,138.3,183.066,164.914,165.072,,
57,140.8,183.14,166.245,166.013,,
58,143.3,182.991,166.839,166.929,,
59,145.8,183.028,167.941,167.821,,
60,148.3,183.14,168.276,168.689,,
61,150.8,183.103,169.184,169.533,,
62,153.3,182.954,170.13,170.353,,
63,155.8,183.066,171.054,171.15,,
64,158.3,183.028,171.831,171.925,,
65,160.8,183.028,172.4,172.678,,
66,163.3,183.103,173.204,173.408,,
67,165.8,182.991,173.79,174.117,,
68,168.3,183.028,174.388,174.805,,
69,170.8,182.843,175.091,175.472,,
70,173.3,183.028,175.896,176.118,,
71,175.8,183.028,176.312,176.745,,
72,178.3,183.028,177.23,177.352,,
73,180.8,183.14,177.362,177.94,,
74,183.3,183.066,178.264,178.51,,
75,185.8,182.954,178.854,179.06,,
76,188.3,182.991,179.255,179.593,,
77,190.8,183.066,179.641,180.109,,
78,193.3,182.991,180.326,180.607,,
79,195.8,182.88,180.807,181.089,,
80,198.3,182.917,181.405,181.554,,
81,200.8,182.88,181.923,182.004,,
82,203.3,183.066,182.088,182.438,,
83,205.8,183.066,182.459,182.857,,
84,208.3,182.917,182.848,183.261,,
85,210.8,183.103,183.449,183.651,,
86,213.3,183.028,184.026,184.027,,
87,215.8,182.88,184.482,184.39,,
88,218.3,182.88,184.766,184.739,,
89,220.8,182.843,184.935,185.076,,
90,223.3,182.954,185.478,185.4,,
91,225.8,182.917,185.866,185.712,,
92,228.3,182.917,186.063,186.012,,
93,230.8,182.954,186.331,186.301,,
94,233.3,182.917,186.784,186.579,,
95,235.8,182.694,187.319,186.846,,
96,238.3,182.954,187.534,187.103,,
97,240.8,182.954,187.446,187.35,,
98,243.3,182.991,188.239,187.586,,
99,245.8,182.991,188.195,187.814,,
100,250.8,182.174,188.995,188.176,,
