----,,,,,,
DateTime:        , 2021/12/20, 14:54:18,1.64003E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-118.96,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #10000,,,,,
Gain:,25,5, ,,,
Sio:,791.43,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,190.612,,
1,0.8,172.869,189.775,194.658,,
2,3.3,181.271,195.835,197.023,,
3,5.8,181.8,201.596,199.421,,
4,8.3,181.876,203.25,201.842,,
5,10.8,181.99,205.739,204.28,,
6,13.3,182.027,207.696,206.731,,
7,15.8,182.141,210.07,209.192,,
8,18.3,182.141,212.266,211.658,,
9,20.8,182.33,214.371,214.128,,
10,23.3,182.444,216.715,216.599,,
11,25.8,182.519,218.861,219.067,,
12,28.3,182.406,221.519,221.529,,
13,30.8,182.444,223.599,223.984,,
14,33.3,182.217,226.534,226.428,,
15,35.8,182.557,228.741,228.864,,
16,38.3,182.633,231.055,231.29,,
17,40.8,182.633,233.158,233.703,,
18,43.3,182.633,235.633,236.101,,
19,45.8,182.595,238.004,238.484,,
20,48.3,182.671,240.38,240.85,,
21,50.8,182.633,242.685,243.2,,
22,53.3,182.671,245.197,245.531,,
23,55.8,182.746,247.043,247.844,,
24,58.3,182.898,249.463,250.14,,
25,60.8,182.86,252.009,252.415,,
26,63.3,182.595,254.346,254.667,,
27,65.8,182.974,256.378,256.901,,
28,68.3,182.784,258.766,259.111,,
29,70.8,182.633,261.258,261.297,,
30,73.3,182.784,263.339,263.463,,
31,75.8,182.86,265.921,265.605,,
32,78.3,182.86,267.474,267.725,,
33,80.8,182.822,269.892,269.82,,
34,83.3,182.86,272.002,271.891,,
35,85.8,182.898,273.849,273.939,,
36,88.3,182.784,276.01,275.96,,
37,90.8,182.709,278.073,277.956,,
38,93.3,182.898,279.579,279.928,,
39,95.8,183.049,281.314,281.876,,
40,98.3,182.974,283.791,283.798,,
41,100.8,182.86,285.411,285.693,,
42,103.3,183.011,287.492,287.564,,
43,105.8,182.822,289.321,289.407,,
44,108.3,183.049,291.235,291.226,,
45,110.8,183.049,292.721,293.018,,
46,113.3,183.163,294.505,294.785,,
47,115.8,183.049,296.567,296.525,,
48,118.3,183.087,298.21,298.239,,
49,120.8,183.011,300.213,299.925,,
50,123.3,183.087,301.618,301.586,,
51,125.8,183.087,303.038,303.22,,
52,128.3,182.898,305.013,304.826,,
53,130.8,183.087,306.861,306.407,,
54,133.3,183.201,307.959,307.962,,
55,135.8,183.011,310.114,309.49,,
56,138.3,183.049,311.12,310.992,,
57,140.8,183.125,312.674,312.468,,
58,143.3,182.86,314.505,313.915,,
59,145.8,182.936,315.927,315.338,,
60,148.3,183.011,317.217,316.735,,
61,150.8,183.125,318.047,318.107,,
62,153.3,182.936,319.797,319.453,,
63,155.8,182.936,320.956,320.772,,
64,158.3,183.049,322.461,322.068,,
65,160.8,183.125,323.246,323.339,,
66,163.3,183.163,324.533,324.585,,
67,165.8,183.125,325.736,325.806,,
68,168.3,183.087,327.42,327.002,,
69,170.8,182.936,328.237,328.173,,
70,173.3,183.125,329.34,329.322,,
71,175.8,182.974,330.552,330.445,,
72,178.3,183.125,331.48,331.546,,
73,180.8,182.898,332.745,332.622,,
74,183.3,182.974,333.657,333.675,,
75,185.8,182.86,334.739,334.705,,
76,188.3,183.163,335.583,335.713,,
77,190.8,183.087,336.486,336.7,,
78,193.3,183.163,337.461,337.664,,
79,195.8,182.974,338.75,338.605,,
80,198.3,182.898,339.634,339.525,,
81,200.8,183.087,340.353,340.424,,
82,203.3,183.201,340.798,341.303,,
83,205.8,183.049,342.172,342.16,,
84,208.3,183.087,342.735,342.997,,
85,210.8,183.276,343.385,343.815,,
86,213.3,183.049,344.51,344.612,,
87,215.8,183.049,345.319,345.39,,
88,218.3,183.125,345.809,346.148,,
89,220.8,183.125,346.661,346.888,,
90,223.3,183.049,347.351,347.608,,
91,225.8,183.125,347.906,348.311,,
92,228.3,183.201,348.854,348.996,,
93,230.8,183.011,349.674,349.662,,
94,233.3,183.087,350.6,350.311,,
95,235.8,183.125,350.877,350.943,,
96,238.3,183.087,351.561,351.557,,
97,240.8,183.163,352.202,352.156,,
98,243.3,183.163,352.726,352.738,,
99,245.8,183.201,353.112,353.305,,
100,250.8,182.368,352.18,353.624,,
