DateTime:        , 2022/01/06, 14:39:25,1.64149E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-237.2,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,80,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #00001,,,,,
Gain:,10,5, ,,,
Sio:,62.07,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,769.351,,
1,0.8,92.151,781.78,781.616,,
2,3.3,91.184,788.124,791.016,,
3,5.8,89.919,794.625,799.793,,
4,8.3,89.622,802.954,808.069,,
5,10.8,89.175,813.814,815.863,,
6,13.3,88.952,822.152,823.212,,
7,15.8,88.357,833.576,830.128,,
8,18.3,87.985,839.714,836.645,,
9,20.8,87.538,846.395,842.784,,
10,23.3,87.166,850.925,848.569,,
11,25.8,86.571,858.046,854.019,,
12,28.3,86.348,862.117,859.156,,
13,30.8,86.05,866.61,863.996,,
14,33.3,85.976,868.523,868.554,,
15,35.8,85.976,871.663,872.841,,
16,38.3,85.306,879.326,876.886,,
17,40.8,85.232,879.39,880.689,,
18,43.3,84.711,885.741,884.276,,
19,45.8,84.339,889.648,887.655,,
20,48.3,84.116,891.295,890.833,,
21,50.8,83.818,895.056,893.824,,
22,53.3,83.297,900.292,896.649,,
23,55.8,83.372,899.129,899.289,,
24,58.3,83.223,901.217,901.765,,
25,60.8,83.074,901.869,904.086,,
26,63.3,82.479,908.498,906.286,,
27,65.8,82.479,906.922,908.337,,
28,68.3,82.553,906.105,910.244,,
29,70.8,81.958,911.953,912.056,,
30,73.3,81.735,913.465,913.754,,
31,75.8,81.512,914.739,915.346,,
32,78.3,81.661,912.583,916.812,,
33,80.8,81.586,913.047,918.174,,
34,83.3,80.991,918.77,919.477,,
35,85.8,80.842,919.966,920.69,,
36,88.3,81.14,914.866,921.786,,
37,90.8,80.545,920.137,922.84,,
38,93.3,80.321,922.196,923.825,,
39,95.8,80.098,924.641,924.745,,
40,98.3,80.247,921.057,925.574,,
41,100.8,80.024,922.627,926.349,,
42,103.3,79.726,924.189,927.078,,
43,105.8,79.726,924.064,927.739,,
44,108.3,79.577,923.907,928.35,,
45,110.8,79.057,929.74,928.943,,
46,113.3,78.759,932.111,929.501,,
47,115.8,79.429,921.483,929.945,,
48,118.3,78.759,929.318,930.396,,
49,120.8,78.387,931.942,930.827,,
50,123.3,78.164,933.58,931.227,,
51,125.8,78.461,928.382,931.553,,
52,128.3,78.238,930.519,931.854,,
53,130.8,77.866,932.91,932.146,,
54,133.3,77.792,932.517,932.403,,
55,135.8,77.42,934.802,932.653,,
56,138.3,77.643,931.084,932.844,,
57,140.8,77.494,931.194,933.013,,
58,143.3,77.122,934.26,933.181,,
59,145.8,77.048,933.994,933.322,,
60,148.3,76.899,935.021,933.443,,
61,150.8,77.048,932.306,933.52,,
62,153.3,76.899,932.16,933.583,,
63,155.8,76.899,930.729,933.618,,
64,158.3,76.527,932.902,933.663,,
65,160.8,76.229,936.019,933.709,,
66,163.3,76.378,932.101,933.715,,
67,165.8,76.155,933.52,933.718,,
68,168.3,75.56,939.815,933.754,,
69,170.8,76.006,931.795,933.721,,
70,173.3,75.708,934.005,933.695,,
71,175.8,75.634,934.659,933.655,,
72,178.3,75.783,929.129,933.581,,
73,180.8,75.634,931.089,933.503,,
74,183.3,75.113,936.214,933.457,,
75,185.8,75.411,930.132,933.362,,
76,188.3,75.188,931.563,933.272,,
77,190.8,74.964,933.403,933.187,,
78,193.3,74.816,932.988,933.098,,
79,195.8,74.667,933.909,933.007,,
80,198.3,74.89,928.589,932.878,,
81,200.8,74.518,931.614,932.771,,
82,203.3,74.295,934.009,932.67,,
83,205.8,74.444,930.127,932.538,,
84,208.3,73.923,936.139,932.443,,
85,210.8,73.848,935.051,932.338,,
86,213.3,73.7,934.768,932.233,,
87,215.8,73.476,935.703,932.133,,
88,218.3,73.7,931.783,931.995,,
89,220.8,73.476,932.572,931.867,,
90,223.3,73.402,931.883,931.731,,
91,225.8,73.104,934.719,931.612,,
92,228.3,73.03,934.302,931.486,,
93,230.8,73.104,931.026,931.339,,
94,233.3,72.956,931.006,931.194,,
95,235.8,72.807,932.222,931.052,,
96,238.3,73.104,926.512,930.869,,
97,240.8,72.881,927.84,930.699,,
98,243.3,72.807,927.552,930.527,,
99,245.8,72.584,928.475,930.367,,
100,250.8,73.402,936.651,936.396,,
101,273.3,75.708,966.498,967.115,,
